1	331601.692	825432.778	145.914
17	331543.785	825378.535	152.571
33	331488.003	825321.835	159.972
49	331427.561	825269.607	165.267
65	331356.861	825233.248	167.035
81	331298.622	825179.304	166.462
97	331224.551	825150.052	165.521
113	331150.905	825119.315	164.86
129	331077.096	825090.929	163.342
145	331005.502	825056.048	161.659
161	330927.994	825048.35	161.056
177	330849.581	825044.637	160.869
193	330771.293	825034.99	160.051
209	330693.438	825019.903	158.439
225	330615.606	825007.808	156.286
241	330537.025	824999.486	154.301
256	330467.397	824977.715	152.315
